සිත් ,,,,ඵස්ස,වේදනා,සංඥා,චේතනා,ඒකග්ඝතා,ජිවිතින්ද්‍රිය,මනසිකාරය,විතක්ක,විචාර,අධිමොක්ඛා,වීරිය,පීතී,ඡන්ද,මෝහ,අහිරික,අනොත්තප්ප,උද්ධච්ච,ලෝභ,දිට්ඨි,මාන,දෝස,ඉස්සා,මච්ජරිය,කුක්කුච්ච,ථීන,මිද්ධ,විචිකිච්ජා,සද්ධා,සති,හිරි,ඔත්තප්ප,අලොභ,අදොස,තත්‍රමජ්ජත්තතා,කාය පස්සද්ධි,චිත්ත පස්සද්ධි,කාය ලහුතා,චිත්ත ලහුතා,කාය මුදුතා,චිත්ත මුදුතා,කාය කම්මගතා,චිත්ත කම්මගතා,කාය පාගුඤ්ඤතා,චිත්ත පාගුඤ්ඤතා,කායුජුකතා,චිත්තයුජුක්තා,සම්මා වචා,සම්මා කම්මන්ත,සම්මා ආජීවෝ,කරුණා,මුදිතා,පඤ්ඤා 
තෘතිය ධ්‍යාන,සකදාගාමි,ඵල සිත,,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
තෘතිය ධ්‍යාන,අනාගාමි,මාර්ග සිත,,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
තෘතිය ධ්‍යාන,අනාගාමි,ඵල සිත,,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
තෘතිය ධ්‍යාන,අර්හත්,මාර්ග සිත,,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
තෘතිය ධ්‍යාන,අර්හත්,ඵල සිත,,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
චතුර්ථ ධ්‍යාන,සෝතාපත්ති  ,මාර්ග සිත,,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
චතුර්ථ ධ්‍යාන,සෝතාපත්ති  ,ඵල සිත,,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
චතුර්ථ ධ්‍යාන,සකදාගාමි,මාර්ග සිත,,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
චතුර්ථ ධ්‍යාන,සකදාගාමි,ඵල සිත,,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
චතුර්ථ ධ්‍යාන,අනාගාමි,මාර්ග සිත,,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
චතුර්ථ ධ්‍යාන,අනාගාමි,ඵල සිත,,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
චතුර්ථ ධ්‍යාන,අර්හත්,මාර්ග සිත,,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
චතුර්ථ ධ්‍යාන,අර්හත්,ඵල සිත,,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
පඤ්චම ධ්‍යාන,සෝතාපත්ති  ,මාර්ග සිත,,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
පඤ්චම ධ්‍යාන,සෝතාපත්ති  ,ඵල සිත,,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
පඤ්චම ධ්‍යාන,සකදාගාමි,මාර්ග සිත,,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
පඤ්චම ධ්‍යාන,සකදාගාමි,ඵල සිත,,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
පඤ්චම ධ්‍යාන,අනාගාමි,මාර්ග සිත,,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
පඤ්චම ධ්‍යාන,අනාගාමි,ඵල සිත,,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
පඤ්චම ධ්‍යාන,අර්හත්,මාර්ග සිත,,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
පඤ්චම ධ්‍යාන,අර්හත්,ඵල සිත,,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
රූපාවචර,ප්‍රථම ධ්‍යාන,කුසල් සිත,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
රූපාවචර,ප්‍රථම ධ්‍යාන,විපාක සිත,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
රූපාවචර,ප්‍රථම ධ්‍යාන,ක්‍රියා සිත,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
රූපාවචර,ද්වීතීය ධ්‍යාන,කුසල් සිත,,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
රූපාවචර,ද්වීතීය ධ්‍යාන,විපාක සිත,,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
රූපාවචර,ද්වීතීය ධ්‍යාන,ක්‍රියා සිත,,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
රූපාවචර,තෘතිය ධ්‍යාන,කුසල් සිත,,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
රූපාවචර,තෘතිය ධ්‍යාන,විපාක සිත,,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
රූපාවචර,තෘතිය ධ්‍යාන,ක්‍රියා සිත,,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
රූපාවචර,චතර්ථ ධ්‍යාන,කුසල් සිත,,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
රූපාවචර,චතර්ථ ධ්‍යාන,විපාක සිත,,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
රූපාවචර,චතර්ථ ධ්‍යාන,ක්‍රියා සිත,,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
රූපාවචර,පඤ්ඤම ධ්‍යාන,කුසල් සිත,,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
රූපාවචර,පඤ්ඤම ධ්‍යාන,විපාක සිත,,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
රූපාවචර,පඤ්ඤම ධ්‍යාන,ක්‍රියා සිත,,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
අරූපාවචර ,අකාශානඤ්චායතන,කුසල් සිත,,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
අරූපාවචර ,අකාශානඤ්චායතන,විපාක සිත,,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
අරූපාවචර ,අකාශානඤ්චායතන,ක්‍රියා සිත,,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
අරූපාවචර , විඤ්ඤාණඤ්චායතන,කුසල් සිත,,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
අරූපාවචර , විඤ්ඤාණඤ්චායතන,විපාක සිත,,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
අරූපාවචර , විඤ්ඤාණඤ්චායතන,ක්‍රියා සිත,,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
අරූපාවචර ,ආකිඤ්චඤ්ඤායතන,කුසල් සිත,,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
අරූපාවචර ,ආකිඤ්චඤ්ඤායතන,විපාක සිත,,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
